,order_id,customer_id,product_id,quantity,order_date,product_name,category,price,name,age,gender,city,Total_Price
0,O00001,C0333,P022,1,2022-01-09,Tax,Home,185.33,Christopher,34,Female,North Isaactown,185.33
1,O00002,C0068,P090,1,2022-01-27,Perform,Electronics,947.55,Kathy,35,Female,Gambleport,947.55
2,O00003,C0483,P021,1,2022-01-17,Art,Electronics,938.65,Cody,36,Male,Lake Amandaport,938.65
3,O00004,C0214,P076,4,2022-01-07,Amount,Electronics,154.17,Jennifer,36,Male,Judithstad,616.68
4,O00005,C0411,P073,4,2022-01-12,Second,Electronics,131.85,Kent,25,Male,East Adamfort,527.4
5,O00006,C0093,P079,4,2022-01-23,Dream,Clothing,721.44,Laura,62,Male,Priceside,2885.76
6,O00007,C0399,P046,5,2022-01-14,Around,Electronics,900.08,Christopher,49,Male,Hollowaychester,4500.400000000001
7,O00008,C0015,P088,2,2022-01-10,Trip,Electronics,403.85,Larry,41,Male,Lake Tammyland,807.7
8,O00009,C0248,P063,1,2022-01-06,Table,Home,252.25,Katherine,50,Male,Porterchester,252.25
9,O00010,C0455,P053,4,2022-01-02,Be,Home,629.57,Stephanie,33,Male,Danielmouth,2518.28
10,O00011,C0024,P009,3,2022-01-18,Manage,Accessories,258.37,Amber,38,Male,Travisfurt,775.11
11,O00012,C0336,P041,1,2022-01-16,Behind,Footwear,465.37,Anna,47,Female,West Carlosport,465.37
12,O00013,C0361,P087,5,2022-01-30,Body,Footwear,585.47,Bradley,41,Female,Davidville,2927.3500000000004
13,O00014,C0393,P096,5,2022-01-07,Service,Footwear,872.76,Barry,29,Male,East Christopher,4363.8
14,O00015,C0371,P073,2,2022-01-23,Second,Electronics,131.85,James,34,Female,Nicholasburgh,263.7
15,O00016,C0490,P086,3,2022-01-30,Edge,Home,908.91,Jennifer,41,Female,Brightville,2726.73
16,O00017,C0266,P067,5,2022-01-16,Possible,Clothing,763.65,Suzanne,18,Female,Emilybury,3818.25
17,O00018,C0049,P056,2,2022-01-11,While,Footwear,795.06,Olivia,19,Male,Joshuabury,1590.12
18,O00019,C0247,P045,4,2022-01-08,Compare,Footwear,236.05,Keith,58,Female,Port Lydiamouth,944.2
19,O00020,C0077,P072,5,2022-01-01,Phone,Footwear,847.22,Angela,25,Male,Port Jasonton,4236.1
20,O00021,C0028,P002,2,2022-01-01,Least,Accessories,56.56,Crystal,61,Male,Theodoreland,113.12
21,O00022,C0259,P061,4,2022-01-22,Stage,Clothing,155.92,Stephanie,47,Female,East Jenniferfurt,623.68
22,O00023,C0446,P022,1,2022-01-03,Tax,Home,185.33,William,18,Male,South Kimberlyton,185.33
23,O00024,C0385,P063,3,2022-01-30,Table,Home,252.25,Johnathan,53,Female,Lake Christopherhaven,756.75
24,O00025,C0124,P043,3,2022-01-04,Force,Clothing,748.87,Tara,61,Female,West Heather,2246.61
25,O00026,C0026,P065,2,2022-01-27,Environmental,Electronics,38.36,Angelica,29,Female,Travishaven,76.72
26,O00027,C0282,P083,4,2022-01-19,Ready,Accessories,255.54,Melissa,25,Male,South Kenneth,1022.16
27,O00028,C0207,P031,1,2022-01-22,Eat,Clothing,168.44,Molly,19,Male,Port Jessica,168.44
28,O00029,C0236,P057,5,2022-01-16,On,Accessories,621.97,Dana,46,Male,Stephenfort,3109.8500000000004
29,O00030,C0230,P012,4,2022-01-05,Section,Footwear,597.66,Kimberly,28,Female,East Robertport,2390.64
30,O00031,C0229,P041,1,2022-01-31,Behind,Footwear,465.37,Eric,39,Male,Melissafurt,465.37
31,O00032,C0255,P096,1,2022-01-03,Service,Footwear,872.76,Jessica,45,Female,Ramoschester,872.76
32,O00033,C0053,P052,4,2022-01-25,List,Clothing,940.13,James,24,Male,Maysborough,3760.52
33,O00034,C0019,P072,5,2022-01-17,Phone,Footwear,847.22,Karen,41,Female,South Denise,4236.1
34,O00035,C0001,P012,5,2022-01-03,Section,Footwear,597.66,Jennifer,56,Male,Morrisonmouth,2988.2999999999997
35,O00036,C0494,P080,3,2022-01-24,Organization,Footwear,642.94,Kristi,49,Female,South Jamie,1928.8200000000002
36,O00037,C0456,P066,5,2022-01-24,Such,Accessories,572.04,Zachary,54,Male,South Kristenburgh,2860.2
37,O00038,C0106,P084,4,2022-01-04,Pay,Home,348.97,George,52,Female,Nicholaston,1395.88
38,O00039,C0487,P044,3,2022-01-29,Detail,Home,505.21,Christina,62,Male,Rivasburgh,1515.6299999999999
39,O00040,C0423,P007,2,2022-01-09,Finish,Clothing,325.74,Janice,57,Male,South Julia,651.48
40,O00041,C0433,P059,3,2022-01-21,Network,Home,894.42,Richard,54,Female,North Robertbury,2683.2599999999998
41,O00042,C0287,P099,5,2022-01-08,So,Electronics,698.17,Robert,52,Male,North Kyle,3490.85
42,O00043,C0308,P061,3,2022-01-15,Stage,Clothing,155.92,Jeffrey,20,Female,Lake Robin,467.76
43,O00044,C0367,P058,1,2022-01-10,Job,Accessories,535.79,Gregory,44,Female,Merrittburgh,535.79
44,O00045,C0050,P098,2,2022-01-09,Decision,Accessories,567.31,Sharon,37,Female,Paulton,1134.62
45,O00046,C0002,P044,3,2022-01-15,Detail,Home,505.21,William,46,Male,Port Charlesshire,1515.6299999999999
46,O00047,C0425,P082,3,2022-01-02,West,Footwear,545.01,Susan,30,Male,East Tina,1635.03
47,O00048,C0281,P067,3,2022-01-04,Possible,Clothing,763.65,Jim,28,Male,North Larry,2290.95
48,O00049,C0360,P014,1,2022-01-27,Yes,Footwear,414.78,Clinton,63,Female,Millerberg,414.78
