,order_id,customer_id,product_id,quantity,order_date,product_name,category,price,Total Price,Year,Total_Price
0,O00001,C0333,P022,1,2022-01-09,Tax,Home,185.33,185.33,2022,185.33
1,O00002,C0068,P090,1,2022-01-27,Perform,Electronics,947.55,947.55,2022,947.55
2,O00003,C0483,P021,1,2022-01-17,Art,Electronics,938.65,938.65,2022,938.65
3,O00004,C0214,P076,4,2022-01-07,Amount,Electronics,154.17,616.68,2022,616.68
4,O00005,C0411,P073,4,2022-01-12,Second,Electronics,131.85,527.4,2022,527.4
5,O00006,C0093,P079,4,2022-01-23,Dream,Clothing,721.44,2885.76,2022,2885.76
6,O00007,C0399,P046,5,2022-01-14,Around,Electronics,900.08,4500.400000000001,2022,4500.400000000001
7,O00008,C0015,P088,2,2022-01-10,Trip,Electronics,403.85,807.7,2022,807.7
8,O00009,C0248,P063,1,2022-01-06,Table,Home,252.25,252.25,2022,252.25
9,O00010,C0455,P053,4,2022-01-02,Be,Home,629.57,2518.28,2022,2518.28
10,O00011,C0024,P009,3,2022-01-18,Manage,Accessories,258.37,775.11,2022,775.11
11,O00012,C0336,P041,1,2022-01-16,Behind,Footwear,465.37,465.37,2022,465.37
12,O00013,C0361,P087,5,2022-01-30,Body,Footwear,585.47,2927.3500000000004,2022,2927.3500000000004
13,O00014,C0393,P096,5,2022-01-07,Service,Footwear,872.76,4363.8,2022,4363.8
14,O00015,C0371,P073,2,2022-01-23,Second,Electronics,131.85,263.7,2022,263.7
15,O00016,C0490,P086,3,2022-01-30,Edge,Home,908.91,2726.73,2022,2726.73
16,O00017,C0266,P067,5,2022-01-16,Possible,Clothing,763.65,3818.25,2022,3818.25
17,O00018,C0049,P056,2,2022-01-11,While,Footwear,795.06,1590.12,2022,1590.12
18,O00019,C0247,P045,4,2022-01-08,Compare,Footwear,236.05,944.2,2022,944.2
19,O00020,C0077,P072,5,2022-01-01,Phone,Footwear,847.22,4236.1,2022,4236.1
20,O00021,C0028,P002,2,2022-01-01,Least,Accessories,56.56,113.12,2022,113.12
21,O00022,C0259,P061,4,2022-01-22,Stage,Clothing,155.92,623.68,2022,623.68
22,O00023,C0446,P022,1,2022-01-03,Tax,Home,185.33,185.33,2022,185.33
23,O00024,C0385,P063,3,2022-01-30,Table,Home,252.25,756.75,2022,756.75
24,O00025,C0124,P043,3,2022-01-04,Force,Clothing,748.87,2246.61,2022,2246.61
25,O00026,C0026,P065,2,2022-01-27,Environmental,Electronics,38.36,76.72,2022,76.72
26,O00027,C0282,P083,4,2022-01-19,Ready,Accessories,255.54,1022.16,2022,1022.16
27,O00028,C0207,P031,1,2022-01-22,Eat,Clothing,168.44,168.44,2022,168.44
28,O00029,C0236,P057,5,2022-01-16,On,Accessories,621.97,3109.8500000000004,2022,3109.8500000000004
29,O00030,C0230,P012,4,2022-01-05,Section,Footwear,597.66,2390.64,2022,2390.64
30,O00031,C0229,P041,1,2022-01-31,Behind,Footwear,465.37,465.37,2022,465.37
31,O00032,C0255,P096,1,2022-01-03,Service,Footwear,872.76,872.76,2022,872.76
32,O00033,C0053,P052,4,2022-01-25,List,Clothing,940.13,3760.52,2022,3760.52
33,O00034,C0019,P072,5,2022-01-17,Phone,Footwear,847.22,4236.1,2022,4236.1
34,O00035,C0001,P012,5,2022-01-03,Section,Footwear,597.66,2988.2999999999997,2022,2988.2999999999997
35,O00036,C0494,P080,3,2022-01-24,Organization,Footwear,642.94,1928.8200000000002,2022,1928.8200000000002
36,O00037,C0456,P066,5,2022-01-24,Such,Accessories,572.04,2860.2,2022,2860.2
37,O00038,C0106,P084,4,2022-01-04,Pay,Home,348.97,1395.88,2022,1395.88
38,O00039,C0487,P044,3,2022-01-29,Detail,Home,505.21,1515.6299999999999,2022,1515.6299999999999
39,O00040,C0423,P007,2,2022-01-09,Finish,Clothing,325.74,651.48,2022,651.48
40,O00041,C0433,P059,3,2022-01-21,Network,Home,894.42,2683.2599999999998,2022,2683.2599999999998
41,O00042,C0287,P099,5,2022-01-08,So,Electronics,698.17,3490.85,2022,3490.85
42,O00043,C0308,P061,3,2022-01-15,Stage,Clothing,155.92,467.76,2022,467.76
43,O00044,C0367,P058,1,2022-01-10,Job,Accessories,535.79,535.79,2022,535.79
44,O00045,C0050,P098,2,2022-01-09,Decision,Accessories,567.31,1134.62,2022,1134.62
45,O00046,C0002,P044,3,2022-01-15,Detail,Home,505.21,1515.6299999999999,2022,1515.6299999999999
46,O00047,C0425,P082,3,2022-01-02,West,Footwear,545.01,1635.03,2022,1635.03
47,O00048,C0281,P067,3,2022-01-04,Possible,Clothing,763.65,2290.95,2022,2290.95
48,O00049,C0360,P014,1,2022-01-27,Yes,Footwear,414.78,414.78,2022,414.78
49,O00050,C0460,P022,4,2022-01-06,Tax,Home,185.33,741.32,2022,741.32
50,O00051,C0072,P092,4,2022-01-28,Coach,Electronics,588.3,2353.2,2022,2353.2
51,O00052,C0055,P033,5,2022-01-02,The,Footwear,666.87,3334.35,2022,3334.35
52,O00053,C0101,P025,1,2022-01-28,General,Accessories,576.6,576.6,2022,576.6
53,O00054,C0477,P051,2,2022-01-10,Part,Footwear,121.31,242.62,2022,242.62
54,O00055,C0235,P025,3,2022-01-12,General,Accessories,576.6,1729.8000000000002,2022,1729.8000000000002
55,O00056,C0056,P097,4,2022-01-26,Away,Home,932.46,3729.84,2022,3729.84
56,O00057,C0024,P082,5,2022-01-22,West,Footwear,545.01,2725.05,2022,2725.05
57,O00058,C0064,P099,4,2022-01-11,So,Electronics,698.17,2792.68,2022,2792.68
58,O00059,C0235,P085,5,2022-01-14,Really,Electronics,185.69,928.45,2022,928.45
59,O00060,C0490,P065,2,2022-01-24,Environmental,Electronics,38.36,76.72,2022,76.72
60,O00061,C0494,P064,1,2022-01-04,Likely,Home,745.23,745.23,2022,745.23
61,O00062,C0272,P095,1,2022-01-04,Program,Clothing,23.02,23.02,2022,23.02
62,O00063,C0284,P056,5,2022-01-28,While,Footwear,795.06,3975.2999999999997,2022,3975.2999999999997
63,O00064,C0248,P066,2,2022-01-25,Such,Accessories,572.04,1144.08,2022,1144.08
64,O00065,C0355,P075,2,2022-01-29,Some,Accessories,798.31,1596.62,2022,1596.62
65,O00066,C0375,P017,1,2022-01-02,Happen,Accessories,831.47,831.47,2022,831.47
66,O00067,C0199,P085,5,2022-01-01,Really,Electronics,185.69,928.45,2022,928.45
67,O00068,C0311,P042,5,2022-01-28,Find,Accessories,304.87,1524.35,2022,1524.35
68,O00069,C0452,P050,4,2022-01-05,Operation,Accessories,626.12,2504.48,2022,2504.48
69,O00070,C0312,P089,2,2022-01-22,Value,Accessories,464.7,929.4,2022,929.4
70,O00071,C0141,P051,3,2022-01-21,Part,Footwear,121.31,363.93,2022,363.93
71,O00072,C0497,P038,4,2022-01-06,Black,Electronics,817.52,3270.08,2022,3270.08
72,O00073,C0413,P018,2,2022-01-11,Maybe,Accessories,965.2,1930.4,2022,1930.4
73,O00074,C0212,P078,5,2022-01-12,Where,Accessories,723.64,3618.2,2022,3618.2
74,O00075,C0154,P090,5,2022-01-29,Perform,Electronics,947.55,4737.75,2022,4737.75
