,order_id,customer_id,product_id,quantity,order_date,product_name,category,price,name,age,gender,city
0,O00001,C0333,P022,1,2022-01-09,Tax,Home,185.33,Christopher,34,Female,North Isaactown
1,O00002,C0068,P090,1,2022-01-27,Perform,Electronics,947.55,Kathy,35,Female,Gambleport
2,O00003,C0483,P021,1,2022-01-17,Art,Electronics,938.65,Cody,36,Male,Lake Amandaport
3,O00004,C0214,P076,4,2022-01-07,Amount,Electronics,154.17,Jennifer,36,Male,Judithstad
4,O00005,C0411,P073,4,2022-01-12,Second,Electronics,131.85,Kent,25,Male,East Adamfort
5,O00006,C0093,P079,4,2022-01-23,Dream,Clothing,721.44,Laura,62,Male,Priceside
6,O00007,C0399,P046,5,2022-01-14,Around,Electronics,900.08,Christopher,49,Male,Hollowaychester
7,O00008,C0015,P088,2,2022-01-10,Trip,Electronics,403.85,Larry,41,Male,Lake Tammyland
8,O00009,C0248,P063,1,2022-01-06,Table,Home,252.25,Katherine,50,Male,Porterchester
9,O00010,C0455,P053,4,2022-01-02,Be,Home,629.57,Stephanie,33,Male,Danielmouth
10,O00011,C0024,P009,3,2022-01-18,Manage,Accessories,258.37,Amber,38,Male,Travisfurt
11,O00012,C0336,P041,1,2022-01-16,Behind,Footwear,465.37,Anna,47,Female,West Carlosport
12,O00013,C0361,P087,5,2022-01-30,Body,Footwear,585.47,Bradley,41,Female,Davidville
13,O00014,C0393,P096,5,2022-01-07,Service,Footwear,872.76,Barry,29,Male,East Christopher
14,O00015,C0371,P073,2,2022-01-23,Second,Electronics,131.85,James,34,Female,Nicholasburgh
15,O00016,C0490,P086,3,2022-01-30,Edge,Home,908.91,Jennifer,41,Female,Brightville
16,O00017,C0266,P067,5,2022-01-16,Possible,Clothing,763.65,Suzanne,18,Female,Emilybury
17,O00018,C0049,P056,2,2022-01-11,While,Footwear,795.06,Olivia,19,Male,Joshuabury
18,O00019,C0247,P045,4,2022-01-08,Compare,Footwear,236.05,Keith,58,Female,Port Lydiamouth
19,O00020,C0077,P072,5,2022-01-01,Phone,Footwear,847.22,Angela,25,Male,Port Jasonton
20,O00021,C0028,P002,2,2022-01-01,Least,Accessories,56.56,Crystal,61,Male,Theodoreland
21,O00022,C0259,P061,4,2022-01-22,Stage,Clothing,155.92,Stephanie,47,Female,East Jenniferfurt
22,O00023,C0446,P022,1,2022-01-03,Tax,Home,185.33,William,18,Male,South Kimberlyton
23,O00024,C0385,P063,3,2022-01-30,Table,Home,252.25,Johnathan,53,Female,Lake Christopherhaven
24,O00025,C0124,P043,3,2022-01-04,Force,Clothing,748.87,Tara,61,Female,West Heather
25,O00026,C0026,P065,2,2022-01-27,Environmental,Electronics,38.36,Angelica,29,Female,Travishaven
26,O00027,C0282,P083,4,2022-01-19,Ready,Accessories,255.54,Melissa,25,Male,South Kenneth
27,O00028,C0207,P031,1,2022-01-22,Eat,Clothing,168.44,Molly,19,Male,Port Jessica
28,O00029,C0236,P057,5,2022-01-16,On,Accessories,621.97,Dana,46,Male,Stephenfort
29,O00030,C0230,P012,4,2022-01-05,Section,Footwear,597.66,Kimberly,28,Female,East Robertport
30,O00031,C0229,P041,1,2022-01-31,Behind,Footwear,465.37,Eric,39,Male,Melissafurt
31,O00032,C0255,P096,1,2022-01-03,Service,Footwear,872.76,Jessica,45,Female,Ramoschester
32,O00033,C0053,P052,4,2022-01-25,List,Clothing,940.13,James,24,Male,Maysborough
33,O00034,C0019,P072,5,2022-01-17,Phone,Footwear,847.22,Karen,41,Female,South Denise
34,O00035,C0001,P012,5,2022-01-03,Section,Footwear,597.66,Jennifer,56,Male,Morrisonmouth
